PM Score
21s,"Health Care, Gender Equity","189.21s - Health Care, Gender Equity 

Vote was on prohibiting insurance companies from charging different rates for disability insurance on the basis of gender.

(Roll Call #326, Bill S.4, Amdt. 668, 5-25-16. Progressive Position:YES)
.",326,S.4,668,5/25/2016,Gender equity in the purchasing of insurance policies,"Health Care, Gender Equity",21s,Yes +,32,6
22s,Environment,"189.22s - Environment

Vote was on banning the use of single-use carryout plastic bags.

(Roll Call #328, Bill S.4, Amdt. 903, 5/25/16. Progressive Position:YES)
.",328,S.4,903,5/25/2016,Plastic Bag Reduction,Environment,22s,Yes +,29,9
23s,Criminal Justice,"189.23s - Criminal Justice

Vote was on preventing the failure to pay probation-related fees from counting as a violation of probation, and on making such fees optional, by discretion of the court.

(Roll Call #331, Bill S.4, Amdt. 1005 , 5/26/16. Progressive Position: YES)
.",331,S.4,1005,5/26/2016,Discretionary Imposition of Probation Fees and Victim Services Surcharges on Probationers,Criminal Justice,23s,Yes +,31,7
24s,Transportation,"189.24s - Transportation

Vote was on capping MBTA fare hikes to 5 percent over a 24-month period.

(Roll Call #333, Bill S.4, Amdt. 1146, 5/26/16. Progressive Position:YES )
.",333,S.4,1146,5/26/2016,Clarifying the Limit on MBTA Fare Increases,Transportation,24s,"Yes +
",34,5
25s,Immigration,"189.25s - Immigration

Vote was on creating a two-tiered state ID system, one that is compliant with strict fedreal REAL ID requirements and one that is not. Transgender individuals, the elderly, the young, the disabled, the transient, the homeless, immigrants, and low-income people of color have historically faced hurdles in providing adequate documentation for IDs and licenses, a problem exacerbated by the REAL ID requirements.  

(Roll Call #334, Bill S.4, Amdt. 1129.1, 5/26/16. Progressive Position: YES)
.",334,S.4,1129.1,5/26/2016,REAL ID,Immigration,25s,Yes +,25,13
26s,Housing,"189.26s - Housing

Vote was on allowing accessory dwelling units (accessory apartments built by single family home owners) to be counted as affordable under Chapter 40B, thereby reducing the amount of affordable housing towns are required to have. 

(Roll Call #363, Bill S.2311, Amdt. 28, 6/9/16, Progressive Position: NO)
.",363,S.2311,28,6/9/2016,Relative to accessory dwelling units,Housing,26s,No +,10,28
27s,"Housing, Environment","189.27s - Housing, Environment

Vote was on upgrading Massachusetts’s zoning laws to encourage more affordable housing and transit-oriented, walkable development and on allowing municipalities to adopt inclusionary zoning practices. 

(Roll Call #364. Bill S.2311, 6/9/16, Progressive Position: YES)
.",364,S.2311,,6/9/2016,An Act promoting housing and sustainable development,"Housing, Environment",27s,Yes +,23,15
28s,Transportation,"189.28s - Transportation

Vote was on striking the provision of the underlying bill that would require transportation network companies (Uber, Lyft, etc.) to pay a tax of 20-cents per ride into a new Municipal Transportation Infrastructure Trust Fund, which would provide financial assistance to small businesses operating in the taxicab, livery, or hackney industries and to cities and towns to address the impact of TNCs on municipal roads and bridges.

(Roll Call #374. Bill S.2371, Amdt. 49, 6/29/16. Progressive Position: NO)
.",374,S.2371,49,6/29/2016,Elimination of the Municipal Transportation Infrastructure Trust Fund,Transportation,28s,No +,9,30
29s,Criminal Justice,"189.29s - Criminal Justice

Vote was on diverting youth with low-level offenses from going deeper into the criminal justice system.

(Roll Call #400, Bill  S.2424, 7/12/16. Progressive Position: YES)
.",400,S.2424,,7/12/2016,"An Act promoting transparency, best practices, and better outcomes for children and communities",Criminal Justice,29s,Yes +,31,9
30s,Transportation,"189.30s - Transportation

Vote was on enabling municipalities to place a question on the ballot to raise revenue for local and regional transportation projects.

(Roll Call #401, Bill S.2410, Amdt. 1, 7/13/16. Progressive Position: YES)
.",401,S.2410,1,7/13/2016,Regional Transportation Ballot Initiatives,Transportation,30s,Yes +,33,7
31s,Consumer Protection,"189.31s - Consumer Protection

Vote was on providing greater protections and relief for consumers who are pursued by abusive debt collectors.

(Roll Call #406, Bill S.2409, 7/13/16. Progressive Position: YES)
.",406,S.2409,,7/13/2016,An act relative to family financial protection,Consumer Protection,31s,Yes +,29,9
32s,"Labor, Wage Theft","189.32s - Labor, Wage Theft 

Vote was on limiting the liability threshold for holding companies accountable in cases of wage theft violations by contractors. 

(Roll Call #407, Bill S.2416, Amdt. 2, 7/13/16. Progressive Position: NO)",407,S.2416,2,7/13/2016,"Direct Company Liability Standard
","Labor, Wage Theft","32s
",No +,14,25
33s,Campaign Finance,"189.33s - Campaign Finance 

Vote was on requiring direct mailings and billboards to list the top five donors with contributions over $5,000 when a group buys a political ad. 

(Roll Call #412, Bill H543, 7/14/16, Progressive Position: YES )",412,H.543,,7/14/2016,An act relative to disclosure of top contributors for independence expenditures or electioneering communications,Campaign Finance,33s,Yes +,34,6
34s,Taxation,"189.34s - Taxation

Vote was on requiring any proposal to offer corporate tax incentives have sunset and other accountability provisions so that so that corporations do not have unchecked and unlimited subsidies at the expense of taxpayers and much-needed investments. 

(Roll Call #413 Bill S.2423, Amdt. 42, 7/14/16. Progressive Position: YES)
.",413,S.2423,42,7/14/2016,Tax Expenditure Review,Taxation,34s,Yes +,35,4
35s,Taxation,"189.35s - Taxation

Vote was on expanding tax incentives for investing in newly formed startups. Although small business growth is a valuable aim, the bill reduces public revenue, perpetuating the problem of chronic underinvestment in our social priorities. 

(Roll Call #418 Bill S.2423, Amdt. 10, 7/14/16. Progressive Position: NO)
.",418,S.2423,10,7/14/2016,Angel Investment Tax Credit,Taxation,35s,No +,34,6
36s,Revenue,"189.35s - Revenue 

Vote was on authorizing online lottery sales. Lotteries disproportionately target low- and moderate-income individuals and are thus a regressive source of revenue. 

(Roll Call #420, Bill S2423, Amdt. 1, 7/12/16. Progressive Position: NO)
.",420,S.2423,1,7/12/2016,Lottery Online Products,Revenue,36s,No +,22,17
37s,"Housing, Taxation","189.36s - Housing, Taxation

Vote was on exempting primary residences and houses rented out for less than three weeks per year from the tax on short-term rentals in the underlying bill. The amendment would undermine the effort to close the tax loophole exploited by companies like Airbnb.

(Roll Call #422, Bill S.2423, Amdt. 100, 7/14/16. Progressive Position: NO)
.",422,S.2423,100,7/14/2016,Transient Accommodation,"Housing, Taxation
",37s,No +,10,29
38s,Labor,"189.37s - Labor

Vote was on allowing the wider use of ""independent contractor"" status in the creative economy, which would lead to fewer workplace benefits and protections. 

(Roll Call #537, Bill S.2451, Amdt. 1, 7/30/16. Progressive Position: NO)
.",537,S.2451,1,7/30/2016,Economic Development in the Commonwealth,Labor,38s,No +,11,29
